1	1	300000	290637
1	300001	600000	295220
1	600001	900000	296570
1	900001	1200000	198618
1	1200001	1500000	94672
1	1500001	1800000	88829
1	1800001	2100000	196689
1	2100001	2400000	127837
1	2400001	2700000	107657
1	2700001	3000000	145411
1	3000001	3300000	82530
1	3300001	3600000	142590
1	3600001	3900000	120548
1	3900001	4200000	54114
1	4200001	4500000	63844
1	4500001	4800000	116830
1	4800001	5100000	73228
1	5100001	5400000	102122
1	5400001	5700000	66319
1	5700001	6000000	94428
1	6000001	6300000	139202
1	6300001	6600000	145758
1	6600001	6900000	84820
1	6900001	7200000	88721
1	7200001	7500000	159644
1	7500001	7800000	60543
1	7800001	8100000	56918
1	8100001	8400000	92703
1	8400001	8700000	148604
1	8700001	9000000	93684
1	9000001	9300000	77781
1	9300001	9600000	67562
1	9600001	9900000	97924
1	9900001	10200000	77014
1	10200001	10500000	84955
1	10500001	10800000	152571
1	10800001	11100000	182670
1	11100001	11400000	207045
1	11400001	11700000	126666
1	11700001	12000000	162293
1	12000001	12300000	117240
1	12300001	12600000	108514
1	12600001	12900000	108859
1	12900001	13200000	141242
1	13200001	13500000	148490
1	13500001	13800000	151625
1	13800001	14100000	114951
1	14100001	14400000	111722
1	14400001	14700000	128464
1	14700001	15000000	128369
1	15000001	15300000	166687
1	15300001	15600000	117633
1	15600001	15900000	97092
1	15900001	16200000	78608
1	16200001	16500000	86995
1	16500001	16800000	143242
1	16800001	17100000	73907
1	17100001	17400000	111153
1	17400001	17700000	98771
1	17700001	18000000	112475
1	18000001	18300000	90757
1	18300001	18600000	123599
1	18600001	18900000	149943
1	18900001	19200000	185418
1	19200001	19500000	118669
1	19500001	19800000	131999
1	19800001	20100000	261408
1	20100001	20400000	189070
1	20400001	20700000	186642
1	20700001	21000000	153187
1	21000001	21300000	111365
1	21300001	21600000	162855
1	21600001	21900000	89343
1	21900001	22200000	72853
1	22200001	22500000	43620
1	22500001	22800000	115586
1	22800001	23100000	103520
1	23100001	23400000	154924
1	23400001	23700000	103674
1	23700001	24000000	68159
1	24000001	24300000	50642
1	24300001	24600000	45941
1	24600001	24900000	99285
1	24900001	25200000	92579
1	25200001	25500000	56085
1	25500001	25800000	57799
1	25800001	26100000	44748
1	26100001	26400000	60816
1	26400001	26700000	50300
1	26700001	27000000	70856
1	27000001	27300000	48679
1	27300001	27600000	132511
1	27600001	27900000	65829
1	27900001	28200000	50824
1	28200001	28500000	118264
1	28500001	28800000	39914
1	28800001	29100000	106334
1	29100001	29400000	60253
1	29400001	29700000	55559
1	29700001	30000000	23725
1	30000001	30300000	40782
1	30300001	30600000	68665
1	30600001	30900000	101639
1	30900001	31200000	80402
1	31200001	31500000	53174
1	31500001	31800000	65039
1	31800001	32100000	99119
1	32100001	32400000	61111
1	32400001	32700000	126447
1	32700001	33000000	129434
1	33000001	33300000	57100
1	33300001	33600000	78616
1	33600001	33900000	59777
1	33900001	34200000	96172
1	34200001	34500000	49046
1	34500001	34800000	52680
1	34800001	35100000	95475
1	35100001	35400000	74945
1	35400001	35700000	93515
1	35700001	36000000	116820
1	36000001	36300000	100083
1	36300001	36600000	79004
1	36600001	36900000	66612
1	36900001	37200000	79478
1	37200001	37500000	90510
1	37500001	37800000	99377
1	37800001	38100000	102522
1	38100001	38400000	78912
1	38400001	38700000	64749
1	38700001	39000000	72037
1	39000001	39300000	167313
1	39300001	39600000	65618
1	39600001	39900000	61473
1	39900001	40200000	111278
1	40200001	40244650	21641
2	1	300000	271746
2	300001	600000	286134
2	600001	900000	292302
2	900001	1200000	204538
2	1200001	1500000	80812
2	1500001	1800000	189777
2	1800001	2100000	156914
2	2100001	2400000	155837
2	2400001	2700000	144653
2	2700001	3000000	164793
2	3000001	3300000	107628
2	3300001	3600000	116413
2	3600001	3900000	162946
2	3900001	4200000	131751
2	4200001	4500000	110683
2	4500001	4800000	204364
2	4800001	5100000	154761
2	5100001	5400000	146963
2	5400001	5700000	199545
2	5700001	6000000	195700
2	6000001	6300000	230049
2	6300001	6600000	228358
2	6600001	6900000	130451
2	6900001	7200000	149342
2	7200001	7500000	207935
2	7500001	7800000	153773
2	7800001	8100000	168590
2	8100001	8400000	206779
2	8400001	8700000	189476
2	8700001	9000000	161909
2	9000001	9300000	165305
2	9300001	9600000	115361
2	9600001	9900000	253673
2	9900001	10200000	132399
2	10200001	10500000	132307
2	10500001	10800000	126524
2	10800001	11100000	148672
2	11100001	11400000	185517
2	11400001	11700000	164274
2	11700001	12000000	133840
2	12000001	12300000	123434
2	12300001	12600000	113761
2	12600001	12900000	134226
2	12900001	13200000	134032
2	13200001	13500000	109417
2	13500001	13800000	191559
2	13800001	14100000	193474
2	14100001	14400000	120831
2	14400001	14700000	95163
2	14700001	15000000	146794
2	15000001	15300000	164194
2	15300001	15600000	49856
2	15600001	15900000	83735
2	15900001	16200000	108823
2	16200001	16500000	160463
2	16500001	16800000	207611
2	16800001	17100000	107409
2	17100001	17400000	58542
2	17400001	17700000	73482
2	17700001	18000000	85665
2	18000001	18300000	71625
2	18300001	18600000	87652
2	18600001	18900000	147943
2	18900001	19200000	86481
2	19200001	19500000	43813
2	19500001	19800000	70961
2	19800001	20100000	125437
2	20100001	20400000	127306
2	20400001	20700000	65276
2	20700001	21000000	57686
2	21000001	21300000	65669
2	21300001	21600000	100678
2	21600001	21900000	58758
2	21900001	22200000	46323
2	22200001	22500000	112525
2	22500001	22800000	75547
2	22800001	23100000	54879
2	23100001	23400000	41431
2	23400001	23700000	41958
2	23700001	24000000	104699
2	24000001	24300000	40061
